ID,CUSTOMER_ID,TYPE,CURRENCY,BALANCE,OPEN_DATE,STATUS
ACCT_665Xk8zVR4,CUST_KikTXd04Qy,savings,EUR,618,12/4/2012,Active
ACCT_YIJuOlsfdH,CUST_lf@WzWSrVP,checking,EUR,360,7/3/2013,Active
ACCT_-QqCpO5kqT,CUST_PlP3dAMX-a,virtual_wallet,EUR,57,8/30/2015,Active
ACCT_kqwNlFNLjn,CUST_1Pk7jcIpo9,wallet,EUR,244,10/12/2017,Active
ACCT_fwkd_qX6WE,CUST_F01psKUL@H,wallet,USD,966,4/20/2014,Active
ACCT_J6_RfVUFxn,CUST_-4H@aHrZYm,savings,GBP,2306,10/31/2016,Active
ACCT_PLdE27Ocyk,CUST_AI4LMJWxMq,credit,EUR,0,5/29/2021,Active
ACCT_66sEEnaJRv,CUST_4f4wOdObeq,credit,BRL,3289,4/4/2015,Active
ACCT_fyzNU6L2ll,CUST_@RCjz96V_W,checking,EUR,3015,7/2/2016,Active
ACCT_ePwVFXRb62,CUST_Y3zdpYEI-L,credit,BRL,0,7/6/2017,Active
ACCT_pf_UGP@xGj,CUST_kdXQP6dPUQ,savings,MXN,0,4/13/2017,Blocked
ACCT_c_qeOj6ahx,CUST_sP@roeFt2o,savings,GBP,5949,3/28/2021,Active
ACCT_n7yyp0XMvm,CUST_WAwgJ8Jjjk,wallet,EUR,1209,7/3/2022,Active
ACCT_Vh2nga43Jc,CUST_yIz94pYNhN,virtual_wallet,USD,59,3/6/2023,Active
ACCT_0iSSvqgBdt,CUST_lOBiAv7dWj,virtual_wallet,EUR,300,2/2/2020,Active
ACCT_uWW7zAsHK4,CUST_trvE8KQ0M4,savings,GBP,12129,3/28/2017,Active
ACCT_dbLCyV0KqE,CUST_9Qwvh4f5ZD,credit,MXN,8213,2/29/2020,Active
ACCT_g0jeRUg1tT,CUST_Akl8-W0l5h,savings,MXN,4368,9/11/2025,Inactive
ACCT_LWSAb3oX4R,CUST_eWQ0nRMiTG,wallet,EUR,0,12/26/2018,Active
