ID,CUSTOMER_ID,TYPE,CURRENCY,BALANCE,OPEN_DATE,STATUS
  ACCT_T5E58JX_jQ  ,     CUST_nSAL5wnIcg      ,        checking ,     USD      ,$301.14 ,"       ""04/03/2014""  ",        ACTIVE      
        ACCT_2OemuzKXTo,      CUST_7HIXIJndDl  ,  savings     ,   GBP      ,"  ""6283.580799331792""","       ""10/20/2019""  ",       Active        
      ACCT_wjZH17FdkW ,CUST_yut4nMfDWw  , S       ,       eur       ,       '0.0'        ,"    ""09/23/2017""        ",       Active       
ACCT_Hh9P_MuMSF   ,CUST_vIfWX7JREs       ,      S, us_dollar ,"   ""5935.619296242907""       ","  ""2019-12-07""",  ACTIVE        
     ACCT_4W47PASSqv      ,  CUST_5tG0yT@sCi     ,  WALLET       ,     MEX    ,"      ""648.6530484504533"""," ""12/03/2020""    ",        Active        
ACCT_HTE2s62i_X   ,      CUST_gNrnrDops@ ,        CH        ,    MXN       ,$772.15 ," ""15-03-2014""       ",    A     
ACCT_X7jdOCDT@4  ,      CUST_m7N1nsvRh9,        wallet  ,   eur     ,   '0.0'  ,"    ""01-05-2014"" ",       ACTIVE
  ACCT_bRPTLi4@jz     ,    CUST_l6YbJ8-S4D  ,       checking    ,   gbp,$80.13 ,"    ""02/19/2020""       ",     Inactive    
      ACCT_aGwBVm5Cxu      ,   CUST_2Js96NgblV   ,WALLET,        REAL      ,   '0.0'     ,"      ""11/26/2025"" ",   ACTIVE 
        ACCT_PVq1Q_C4vg   ,  CUST_3W-_CN-wFK      ,    checking  ,   EUR  ," ""0.0""      ","       ""04/18/2015""     ",Active
     ACCT_C9nCIi7gBN    ,      CUST_yM9Cng_PeZ,        checking,    eur       ,"  ""80.04355971957955""   ","     ""08/05/2017""      ",  Active       
ACCT_jpSgX-ABkI   ,       CUST_b_BvQ5O5sC   ,   credit      ,      gbp    ,       '0.0'     ,"        ""02/22/2020""        ",     ACTIVE   
      ACCT_Q_7Nc_PVmk    ,    CUST_-GeQ3WXu5X      ,       savings     ,  usd   ,      '0.0',"  ""2014-07-02""        ", A      
    ACCT_fsYVBhdCmU        ,      CUST_zRqWIB2FyL        , savings        ,     mxn     , '1558.175967785112'  ,"     ""12/07/2019""  ",    Active       
   ACCT_AwKWUvqi@M  , CUST_fNPA-ycmya      ,    S    ,        eur  ," ""0.0""        ","""03/25/2021""  ",       Blocked 
     ACCT_hcSTcAPDlD   ,  CUST_OXH-OiPeFn ,        credit        ,       eur  ,"      ""0.0""      ","     ""20-08-2021""      ",    Active     
   ACCT_tR2IcIs1AR,    CUST_uLl7KJpFvL ,      wallet , MEXICAN_PESO,"   ""1231.6376710869883""     ","       ""07/31/2016""",   A 
     ACCT_cegMu40ouD      ,   CUST_iqyjwAeIeu ,        savings   ,     us_dollar ,"$5,360.79 ","""01-09-2022""        ",    I   
 ACCT_OU-5T1HLJX  ,   CUST_rGD9C2nWN8  ,       CR ,       brl      ,"        ""0.0""   ","     ""05/30/2017""        ",        Active  
     ACCT_Ep2nvFqm1L       ,    CUST_xSuadSgeID    , W      ,EUR   ,"       ""0.0""      ","  ""02/08/2020""", ACTIVE   
    ACCT_IqhaJLO6a-     ,    CUST_cr6dGA5Kkk    ,   credit , USD  ,   '13818.709946931665'    ,"     ""2012-04-21""    ",Active
 ACCT_YmbHIHm2yR       ,        CUST_M_6fFt9HAB        ,     SAVINGS   ,     mxn        ," ""0.0""   ","  ""12-02-2022""    ",     Active   
        ACCT_GlAL5XY4cc      ,    CUST_KHPhISPYeb ,     wallet       ,   EURO,    '0.0',"  ""2013-02-23""  ", A 
    ACCT_CPK3Ey7_h_     ,CUST_BJ@w8b5trc    ,checking  ,  brl   ,"     ""0.0""       ","      ""12/31/2023""",   Active        
  ACCT_21ebf-joXn        ,CUST_EPZP-mgmAs        ,        VIRTUAL_WALLET    ,   USD      ,"  ""613.5431894265469""       ","  ""06/23/2020""",      A    
    ACCT_KEEAnFiZit,       CUST__znfmN11b9   ,       SAVINGS   ,      eur  ,"  ""8343.769572548432"" "," ""04/19/2019""",        B
 ACCT_ur3LfsmyV@, CUST_jsvKtQ1O6F       ,   wallet       ,    EUR ,      '0.0'        ,"  ""12/15/2017"" ",    ACTIVE   
    ACCT_TASuveUvfT      ,     CUST_DKe2Y-cy0J,   wallet      ,      eur      ,$435.03 ," ""10/16/2014""",    ACTIVE  
ACCT_@fsGa1Le6z   ,      CUST_0PoU1wZXA4     ,       CHECKING,        eur      ,"  ""474.91584213442593""","  ""03/14/2014""        ",        Active  
ACCT_7LVJen4vsP        ,    CUST_c1XnzhyzUS   ,    virtual_wallet ,     $US  ,'179.50497746359156'     ,"        ""2018-12-16"" ",A 
        ACCT_218V0KTDoF   ,       CUST__yXO4lnnJq   ,       S ,     $US    ,"        ""6360.580148916619"" ","  ""2020-11-21""       ",        Active 
    ACCT_q3lmmF1EeY    ,     CUST_Uu4v1N77Y2     , WALLET        ,   us_dollar   ,$237.75 ,"       ""11/18/2015""  ",ACTIVE        
   ACCT_uw6Yt@6FPh, CUST_z71X2eyl-9    ,  SAVINGS        ,       MXN     ,$649.19 ,"       ""25-04-2014""     ",    A  
        ACCT_VqyCmvA-Fn        ,    CUST_N3KrjWxg24      ,      wallet      ,    usd , '951.6824126727398'   ,"       ""07/19/2017""    ",       A   
       ACCT_Iw0lIOKwJr       ,    CUST_QUhbt1uI0g    ,    virtual_wallet     , MXN   ,"    ""112.4116307436694"" ","     ""06/27/2023""    ",      A    
      ACCT_K-_J@Yd9fo,        CUST_EY-4lHewxK ,        CHECKING     ,   EUR       ,"$1,615.27 "," ""26-08-2020""      ",       Active      
        ACCT_RIL4jElD8d     ,CUST_R-WEajskxU    ,      VW   , usd    ,    '0.0'    ," ""2021-08-02""      ", Active    
     ACCT_pg5cmjo-pJ   , CUST_vI5rtv_nOy        ,    wallet      ,      mxn        ,"  ""843.6873927421378""","""2013-06-16"" ",        ACTIVE      
ACCT_7R7Bvs6r9u ,        CUST_5XdmvAJSDK ,    CH  ,   us_dollar       ,"   ""2696.443290977016""     ","        ""07/25/2018""    ",  Active   
      ACCT_kNPLdjIC-y     ,  CUST_hV4uMCk8q3,    virtual_wallet ,    eur   ,       '0.0'        ,"    ""12/30/2015""       ", Active        
        ACCT_h0tcqFAb9K   ,      CUST_dh5Rfz1XuR        ,        checking    ,    eur       ,"   ""2821.6769214150772""        ","        ""2020-03-19""",   Active       
      ACCT_wYT39BEa4S    , CUST_XiOnbpg7kR       ,    CR  ,     MEXICAN_PESO      ,"        ""9741.55781399476""     ","        ""03/23/2024""",      Active
        ACCT_8bqaes_hBy     ,        CUST_L9ZWM5@yZp      ,  wallet    ,       EURO   ,      '1237.9248122103725',"  ""09/28/2015""        ",   Active   
     ACCT_DOt@2TxIJW      ,     CUST_kjtdAM9QbP    ,VIRTUAL_WALLET     ,        EURO,$0.00 ,"      ""20-05-2016"" ",  Active
ACCT_05-u9dZj08    ,        CUST_nRLeSIAkH1       ,     checking   ,       $US,$817.69 ,"""22-10-2015""    ",       Active 
        ACCT_Mr-4cCyd_l,      CUST_ZqcWzogrXj  ,      checking        ,eur   ,"     ""337.7209769653627""        ","        ""05/30/2018""  ",       Active        
        ACCT_syQ7eRxsra     , CUST_pR9mpdKW2e ,  savings  ,mxn        ," ""2812.3179213973754""   ","     ""10/19/2013""    ",      ACTIVE   
      ACCT_ro4P9@CbRR, CUST_WRimNgB@tn    ,SAVINGS ,       EURO      , '4845.049603824969'    ,"       ""04/22/2021""  ",    Active  
