COLUMN_QUANTITY,NAME,IV,DISCRETE_VALUES_QUANTITY
4,OPEN_DATE_MONTHxTRANSACTION_DAYxTRANSACTION_HOURxTRANSACTION_MONTH,56.87082413486966,39912
4,CUSTOMER_COUNTRYxOPEN_DATE_MONTHxTRANSACTION_DAYxTRANSACTION_HOUR,56.216595137623024,39540
4,OPEN_DATE_MONTHxTRANSACTION_COUNTRYxTRANSACTION_DAYxTRANSACTION_HOUR,56.21659513762286,39540
4,CUSTOMER_COUNTRYxTRANSACTION_DAYxTRANSACTION_HOURxTRANSACTION_MONTH,56.01356677180824,39416
4,TRANSACTION_COUNTRYxTRANSACTION_DAYxTRANSACTION_HOURxTRANSACTION_MONTH,56.01356677180813,39416
4,MERCHANT_CATEGORYxOPEN_DATE_MONTHxTRANSACTION_DAYxTRANSACTION_HOUR,53.88592480503488,38121
4,MERCHANT_CATEGORYxTRANSACTION_DAYxTRANSACTION_HOURxTRANSACTION_MONTH,53.61023993743251,37916
4,CUSTOMER_COUNTRYxMERCHANT_CATEGORYxTRANSACTION_DAYxTRANSACTION_HOUR,53.36286717680281,37771
4,MERCHANT_CATEGORYxTRANSACTION_COUNTRYxTRANSACTION_DAYxTRANSACTION_HOUR,53.36286717680277,37771
4,CHANNELxCUSTOMER_COUNTRYxTRANSACTION_DAYxTRANSACTION_HOUR,45.739023104816596,33158
4,CHANNELxTRANSACTION_COUNTRYxTRANSACTION_DAYxTRANSACTION_HOUR,45.739023104816575,33158
4,CHANNELxOPEN_DATE_MONTHxTRANSACTION_DAYxTRANSACTION_HOUR,45.29632451837945,32899
4,CHANNELxTRANSACTION_DAYxTRANSACTION_HOURxTRANSACTION_MONTH,45.146748631413885,32798
4,CUSTOMER_COUNTRYxOPEN_DATE_MONTHxTRANSACTION_DAYxTRANSACTION_MONTH,44.1896078692441,32240
4,OPEN_DATE_MONTHxTRANSACTION_COUNTRYxTRANSACTION_DAYxTRANSACTION_MONTH,44.18960786924408,32240
4,CHANNELxMERCHANT_CATEGORYxTRANSACTION_DAYxTRANSACTION_HOUR,42.104928856405415,30837
4,CUSTOMER_COUNTRYxMERCHANT_CATEGORYxTRANSACTION_DAYxTRANSACTION_MONTH,41.18899236798492,30331
4,MERCHANT_CATEGORYxTRANSACTION_COUNTRYxTRANSACTION_DAYxTRANSACTION_MONTH,41.18899236798479,30331
4,MERCHANT_CATEGORYxOPEN_DATE_MONTHxTRANSACTION_COUNTRYxTRANSACTION_DAY,41.02478823557531,30198
4,CUSTOMER_COUNTRYxMERCHANT_CATEGORYxOPEN_DATE_MONTHxTRANSACTION_DAY,41.024788235574846,30198
4,TRANSACTION_COUNTRYxTRANSACTION_DAYxTRANSACTION_HOURxTRANSACTION_TYPE,40.97838650668522,30286
4,CUSTOMER_COUNTRYxTRANSACTION_DAYxTRANSACTION_HOURxTRANSACTION_TYPE,40.97838650668518,30286
4,OPEN_DATE_MONTHxTRANSACTION_DAYxTRANSACTION_HOURxTRANSACTION_TYPE,40.57445458443468,30056
4,MERCHANT_CATEGORYxOPEN_DATE_MONTHxTRANSACTION_DAYxTRANSACTION_MONTH,40.53095360372533,29964
4,TRANSACTION_DAYxTRANSACTION_HOURxTRANSACTION_MONTHxTRANSACTION_TYPE,40.30117115895552,29887
4,OPEN_DATE_MONTHxTRANSACTION_COUNTRYxTRANSACTION_HOURxTRANSACTION_MONTH,39.36183355355557,29288
4,CUSTOMER_COUNTRYxOPEN_DATE_MONTHxTRANSACTION_HOURxTRANSACTION_MONTH,39.36183355355551,29288
4,MERCHANT_CATEGORYxTRANSACTION_DAYxTRANSACTION_HOURxTRANSACTION_TYPE,36.79981699238956,27637
4,ACCOUNT_CURRENCYxOPEN_DATE_MONTHxTRANSACTION_DAYxTRANSACTION_HOUR,36.492174934009256,27452
4,ACCOUNT_CURRENCYxTRANSACTION_DAYxTRANSACTION_HOURxTRANSACTION_MONTH,36.45426289836473,27442
4,CUSTOMER_COUNTRYxMERCHANT_CATEGORYxTRANSACTION_HOURxTRANSACTION_MONTH,36.334255231298286,27281
4,MERCHANT_CATEGORYxTRANSACTION_COUNTRYxTRANSACTION_HOURxTRANSACTION_MONTH,36.33425523129808,27281
4,CUSTOMER_COUNTRYxMERCHANT_CATEGORYxOPEN_DATE_MONTHxTRANSACTION_HOUR,35.91094264209899,27035
4,MERCHANT_CATEGORYxOPEN_DATE_MONTHxTRANSACTION_COUNTRYxTRANSACTION_HOUR,35.91094264209873,27035
4,MERCHANT_CATEGORYxOPEN_DATE_MONTHxTRANSACTION_HOURxTRANSACTION_MONTH,35.41119925408026,26748
4,AGExCUSTOMER_COUNTRYxTRANSACTION_DAYxTRANSACTION_HOUR,34.586929888366996,26178
4,AGExTRANSACTION_COUNTRYxTRANSACTION_DAYxTRANSACTION_HOUR,34.5869298883669,26178
4,AGExOPEN_DATE_MONTHxTRANSACTION_DAYxTRANSACTION_HOUR,33.508586517595624,25563
4,ACCOUNT_CURRENCYxMERCHANT_CATEGORYxTRANSACTION_DAYxTRANSACTION_HOUR,33.311007221945836,25377
4,AGExTRANSACTION_DAYxTRANSACTION_HOURxTRANSACTION_MONTH,33.12777536904261,25306
4,CHANNELxOPEN_DATE_MONTHxTRANSACTION_COUNTRYxTRANSACTION_DAY,32.80508824331748,25018
4,CHANNELxCUSTOMER_COUNTRYxOPEN_DATE_MONTHxTRANSACTION_DAY,32.805088243317456,25018
4,CHANNELxTRANSACTION_COUNTRYxTRANSACTION_DAYxTRANSACTION_MONTH,32.70486216035301,24912
4,CHANNELxCUSTOMER_COUNTRYxTRANSACTION_DAYxTRANSACTION_MONTH,32.70486216035287,24912
4,CHANNELxOPEN_DATE_MONTHxTRANSACTION_DAYxTRANSACTION_MONTH,31.34922773610354,24133
4,AGExMERCHANT_CATEGORYxTRANSACTION_DAYxTRANSACTION_HOUR,30.528216526105368,23545
4,CHANNELxCUSTOMER_COUNTRYxMERCHANT_CATEGORYxTRANSACTION_DAY,30.229637835785137,23277
4,CHANNELxMERCHANT_CATEGORYxTRANSACTION_COUNTRYxTRANSACTION_DAY,30.229637835784875,23277
4,CHANNELxMERCHANT_CATEGORYxOPEN_DATE_MONTHxTRANSACTION_DAY,28.779954786049203,22392
4,CHANNELxMERCHANT_CATEGORYxTRANSACTION_DAYxTRANSACTION_MONTH,28.721409826459475,22323
4,CHANNELxTRANSACTION_COUNTRYxTRANSACTION_HOURxTRANSACTION_MONTH,28.365657373355837,22141
4,CHANNELxCUSTOMER_COUNTRYxTRANSACTION_HOURxTRANSACTION_MONTH,28.365657373355507,22141
4,CHANNELxOPEN_DATE_MONTHxTRANSACTION_COUNTRYxTRANSACTION_HOUR,28.125615424367957,21971
4,CHANNELxCUSTOMER_COUNTRYxOPEN_DATE_MONTHxTRANSACTION_HOUR,28.125615424367805,21971
4,CHANNELxTRANSACTION_DAYxTRANSACTION_HOURxTRANSACTION_TYPE,27.953978874395517,21974
4,CREDIT_LIMITxCUSTOMER_COUNTRYxTRANSACTION_DAYxTRANSACTION_HOUR,27.264176676225652,21422
4,CREDIT_LIMITxTRANSACTION_COUNTRYxTRANSACTION_DAYxTRANSACTION_HOUR,27.26417667622555,21422
4,CHANNELxOPEN_DATE_MONTHxTRANSACTION_HOURxTRANSACTION_MONTH,26.509114142466924,21038
4,TRANSACTION_COUNTRYxTRANSACTION_DAYxTRANSACTION_MONTHxTRANSACTION_TYPE,26.088223438832593,20836
4,CUSTOMER_COUNTRYxTRANSACTION_DAYxTRANSACTION_MONTHxTRANSACTION_TYPE,26.08822343883255,20836
4,CHANNELxMERCHANT_CATEGORYxTRANSACTION_COUNTRYxTRANSACTION_HOUR,25.9634774696777,20439
4,CHANNELxCUSTOMER_COUNTRYxMERCHANT_CATEGORYxTRANSACTION_HOUR,25.9634774696774,20439
4,ACCOUNT_CURRENCYxCHANNELxTRANSACTION_DAYxTRANSACTION_HOUR,25.86704978164294,20450
4,CUSTOMER_COUNTRYxOPEN_DATE_MONTHxTRANSACTION_DAYxTRANSACTION_TYPE,25.694819489506838,20612
4,OPEN_DATE_MONTHxTRANSACTION_COUNTRYxTRANSACTION_DAYxTRANSACTION_TYPE,25.69481948950682,20612
4,CREDIT_LIMITxTRANSACTION_DAYxTRANSACTION_HOURxTRANSACTION_MONTH,25.346642291372564,20253
